id,cell,cat,num,category,type,baseDifficulty,handDifficulty,footDifficulty,footRating,footLabel,generalUsability,direction,directionLabel,center_x,center_y,boxSize,idealUsage,ideal
1779865115199,"1,1",F,2,wall features,sloper,3,6,8,4,Bad,7,180,down,833.1106567382812,1015.6476135253906,46.8150634765625,Hand,Hand
1779865118816,"1,1",F,3,wall features,sloper,5,10,8,4,Bad,9,180,down,884.1816711425781,1016.255615234375,60.19085693359375,Not Ideal,Not Ideal
1779865125461,"1,1",F,4,wall features,sloper,3,6,4,2,Good,7,180,down,728.2326965332031,930.529296875,117.94970703125,Not Ideal,Not Ideal
1779865130193,"1,1",F,5,wall features,uncategorized,5,10,10,5,Hell,10,180,down,1008.5152587890625,888.578125,75.3905029296875,Hand,Hand
1779865133288,"1,1",F,6,wall features,sloper,4,8,8,4,Bad,8,180,down,968.6920166015625,839.9390563964844,68.70263671875,Hand,Hand
1779865137118,"1,1",F,7,wall features,sloper,4,8,8,4,Bad,8,315,up-left,919.4449462890625,790.6920471191406,63.8387451171875,Hand,Hand
1779865143896,"1,1",F,8,wall features,uncategorized,5,10,10,5,Hell,10,315,up-left,730.0566711425781,756.0367126464844,68.09466552734375,Hand,Hand
1779865149831,"1,1",F,9,wall features,crimp,5,10,10,5,Hell,10,180,down,830.9827270507812,729.2852172851562,109.4378662109375,Hand,Hand
1779865153551,"1,1",F,10,wall features,crimp,3,6,10,5,Hell,9,180,down,710.60107421875,675.1742858886719,40.12725830078125,Hand,Hand
1779865156248,"1,1",F,11,wall features,crimp,3,6,10,5,Hell,9,180,down,749.5122680664062,696.7578430175781,35.2633056640625,Hand,Hand
1779865160663,"1,1",F,12,wall features,crimp,5,10,10,5,Hell,10,180,down,816.3909912109375,681.2541809082031,110.65380859375,Hand,Hand
1779865080245,"1,1",I,1,insert holds,sloper,5,10,6,3,Mid,9,180,down,802.103271484375,959.7127380371094,85.726318359375,Not Ideal,Not Ideal
1779865085007,"1,1",I,2,insert holds,pocket,2,4,8,4,Bad,8,180,down,923.3968811035156,714.9974975585938,86.33428955078125,Hand,Hand
1779865174367,"2,1",C,1,climbing holds,pinch,2,4,4,2,Good,7,180,down,1078.9544677734375,1079.1695556640625,97.35009765625,Hand,Hand
1779865182055,"2,1",C,2,climbing holds,jug,1,2,2,1,Heaven,1,180,down,1255.5150756835938,1066.7739868164062,70.1405029296875,General,General
1779865185680,"2,1",C,3,climbing holds,crimp,2,4,8,4,Bad,8,180,down,1459.5877685546875,1084.0068359375,72.55908203125,Hand,Hand
1779865189513,"2,1",C,4,climbing holds,jug,1,2,2,1,Heaven,1,90,right,1158.4672241210938,1003.5871276855469,76.79180908203125,General,General
1779865196327,"2,1",C,5,climbing holds,crimp,2,4,10,5,Hell,8,270,left,1366.7725219726562,946.1444091796875,62.2799072265625,Hand,Hand
1779865206720,"2,1",C,6,climbing holds,jug,1,2,2,1,Heaven,1,180,down,1088.6290283203125,836.398681640625,95.5362548828125,General,General
1779865216118,"2,1",C,7,climbing holds,pinch,1,2,6,3,Mid,6,180,down,1325.9579467773438,785.304931640625,70.1405029296875,General,General
1779865219202,"2,1",C,8,climbing holds,crimp,2,4,10,5,Hell,8,90,right,1448.0992431640625,766.5604858398438,63.4892578125,Hand,Hand
1779865225249,"2,1",C,9,climbing holds,pinch,2,4,6,3,Mid,7,225,down-left,1077.4428100585938,693.0943298339844,74.9779052734375,Hand,Hand
1779865230615,"2,1",C,10,climbing holds,sloper,5,10,6,3,Mid,9,180,down,1488.0067749023438,681.9081115722656,74.9779052734375,Not Ideal,Not Ideal
1779865247521,"2,1",F,1,wall features,pocket,5,10,10,5,Hell,10,180,down,1113.4201049804688,1035.9364013671875,26.0003662109375,Hand,Hand
1779865252035,"2,1",F,2,wall features,pocket,5,10,10,5,Hell,10,180,down,1357.0979614257812,1052.8668212890625,35.0703125,Hand,Hand
1779865254839,"2,1",F,3,wall features,pocket,3,6,10,5,Hell,9,180,down,1250.9801635742188,1002.075439453125,29.0235595703125,Hand,Hand
1779865259648,"2,1",F,4,wall features,pocket,2,4,10,5,Hell,8,180,down,1295.120361328125,980.00537109375,45.3494873046875,Hand,Hand
1779865263329,"2,1",F,5,wall features,pocket,3,6,10,5,Hell,9,180,down,1321.725341796875,984.8426513671875,44.744873046875,Hand,Hand
1779865270544,"2,1",F,6,wall features,uncategorized,5,10,10,5,Hell,10,180,down,1259.4453735351562,941.6094665527344,50.7913818359375,Hand,Hand
1779865273839,"2,1",F,7,wall features,uncategorized,5,10,10,5,Hell,10,270,left,1300.562255859375,932.8419189453125,48.9774169921875,Hand,Hand
1779865278832,"2,1",F,8,wall features,crimp,5,10,10,5,Hell,10,90,right,1083.4893798828125,907.1438598632812,38.6982421875,Hand,Hand
1779865286912,"2,1",F,9,wall features,pocket,5,10,10,5,Hell,10,180,down,1128.8389282226562,905.9345397949219,43.5355224609375,Hand,Hand
1779865291856,"2,1",F,10,wall features,crimp,2,4,6,3,Mid,8,90,right,1194.1421508789062,913.4927978515625,91.3035888671875,Hand,Hand
1779865303216,"2,1",F,11,wall features,sloper,5,10,4,2,Good,9,180,down,1251.8871459960938,871.4689331054688,99.7689208984375,Not Ideal,Not Ideal
1779865307080,"2,1",F,12,wall features,pocket,5,10,10,5,Hell,10,180,down,1318.097412109375,858.1664428710938,37.4888916015625,Hand,Hand
1779865312809,"2,1",F,13,wall features,pocket,5,10,10,5,Hell,10,180,down,1363.7492065429688,895.0506591796875,38.0936279296875,Hand,Hand
1779865316839,"2,1",F,14,wall features,crimp,3,6,10,5,Hell,9,90,right,1378.5634155273438,818.2588806152344,27.8143310546875,Hand,Hand
1779865321093,"2,1",F,15,wall features,crimp,5,10,10,5,Hell,10,90,right,1378.5633544921875,835.7940063476562,30.23291015625,Hand,Hand
1779865325974,"2,1",F,16,wall features,crimp,5,10,10,5,Hell,10,180,down,1447.796875,863.9107055664062,79.21044921875,Hand,Hand
1779865331413,"2,1",F,17,wall features,jug,2,4,2,1,Heaven,1,180,down,1131.8621826171875,814.9332580566406,110.65277099609375,General,General
1779865334742,"2,1",F,18,wall features,pocket,1,2,10,5,Hell,7,180,down,1172.3743896484375,791.0491638183594,54.41937255859375,General,General
1779865339456,"2,1",F,19,wall features,jug,2,4,2,1,Heaven,1,180,down,1246.1428833007812,807.375,116.0946044921875,General,General
1779865350768,"2,1",F,20,wall features,pocket,4,8,10,5,Hell,10,90,right,1380.9819946289062,776.2350158691406,25.3956298828125,Hand,Hand
1779865353021,"2,1",F,21,wall features,pocket,4,8,10,5,Hell,10,90,right,1407.5870361328125,783.7932739257812,26.60498046875,Hand,Hand
1779865355720,"2,1",F,22,wall features,pocket,3,6,10,5,Hell,9,90,right,1403.0521240234375,761.1185607910156,21.1630859375,Hand,Hand
1779865360383,"2,1",F,23,wall features,crimp,4,8,10,5,Hell,10,90,right,1414.23828125,733.9088439941406,32.651611328125,Hand,Hand
1779865239920,"2,1",I,1,insert holds,crimp,2,4,8,4,Bad,8,180,down,1231.0263671875,744.1880798339844,80.41973876953125,Hand,Hand
1779865368664,"3,1",C,1,climbing holds,crimp,2,4,10,5,Hell,8,225,down-left,1519.673828125,1076.6639404296875,54.283935546875,Hand,Hand
1779865372934,"3,1",C,2,climbing holds,jug,1,2,2,1,Heaven,1,180,down,1627.3165893554688,1002.0233764648438,80.1922607421875,General,General
1779865379687,"3,1",C,3,climbing holds,jug,1,2,2,1,Heaven,1,315,up-left,1729.4075927734375,985.3680725097656,86.977783203125,General,General
1779865383391,"3,1",C,4,climbing holds,pinch,1,2,6,3,Mid,6,270,left,1892.87646484375,1082.2156982421875,70.322509765625,General,General
1779865390960,"3,1",C,5,climbing holds,sloper,4,8,8,4,Bad,8,180,down,1538.4881591796875,877.1084594726562,49.34912109375,Hand,Hand
1779865397415,"3,1",C,6,climbing holds,crimp,3,6,10,5,Hell,9,225,down-left,1736.193115234375,759.5958862304688,58.60205078125,Hand,Hand
1779865400823,"3,1",C,7,climbing holds,jug,5,10,4,2,Good,2,180,down,1874.9874267578125,854.2845153808594,48.73223876953125,General,General
1779865405263,"3,1",C,8,climbing holds,pinch,1,2,4,2,Good,6,270,left,1546.5074462890625,690.5071411132812,90.0621337890625,General,General
1779865408181,"3,1",C,9,climbing holds,pinch,1,2,8,4,Bad,6,180,down,1650.448974609375,706.5455932617188,58.60205078125,General,General
1779865411886,"3,1",C,10,climbing holds,sloper,2,4,6,3,Mid,6,180,down,1867.8935546875,718.2659912109375,81.426025390625,Hand,Hand
1779865432479,"3,1",F,1,wall features,crimp,5,10,10,5,Hell,10,315,up-left,1521.8328857421875,975.1898193359375,68.471923828125,Hand,Hand
1779865435778,"3,1",F,2,wall features,crimp,3,6,10,5,Hell,9,315,up-left,1573.6494140625,925.5322570800781,62.92010498046875,Hand,Hand
1779865443495,"3,1",F,3,wall features,crimp,5,10,10,5,Hell,10,315,up-left,1635.3358764648438,879.2674865722656,61.6864013671875,Hand,Hand
1779865458512,"3,1",F,4,wall features,crimp,4,8,10,5,Hell,10,315,up-left,1713.6775512695312,883.5855407714844,101.1656494140625,Hand,Hand
